ID,CourseID,Title,Awarding_Body,School,Credit,skills,Awarding_Body_Short,Course_Area,Course_Area_ID
20,,Professional Ethical Legal Communication Issues informing NM Prescribing Clinical Pract- Micro-credential,Trinity College Dublin,School of Nursing and Midwifery,Yes,,TCD,Healthcare / Medical / Nursing,9
21,,Safeguarding Adults at Risk of Abuse - Micro-credential,Trinity College Dublin,School of Nursing and Midwifery,Yes,,TCD,Healthcare / Medical / Nursing,9
22,,Solar Energy Conversion and Application - Micro-credential,Trinity College Dublin,Engineering,Yes,,TCD,Energy / Renewable Energy,7
23,,Spatial Audio - Micro-credential,Trinity College Dublin,Engineering,Yes,,TCD,Manufacturing / Engineering,14
24,,Transport Modelling and Planning - Micro-credential,Trinity College Dublin,Engineering,Yes,,TCD,Warehouse / Logistics / Shipping,21
25,,ECS401 Promoting Inclusion in Early Years Care and Education,"National University of Ireland, Galway",Early Childhood Studies,yes,"Promoting inclusion in Early Years practice is crucial in order to provide a holistic approach to children’s development and care in the early years. There are legal, regulatory and best-practice guidelines that Early Years practitioners are obliged to follow to guide practice. Each of these highlights the importance of promoting inclusion of all children and families.",NUIGalway,Healthcare / Medical / Nursing,9
26,,ECS205 The Child and Family in Irish Law,"National University of Ireland, Galway",Early Childhood Studies,yes,"This module gives a broad overview of the Irish legal system as it stands today. It discusses the impact the legal system has on the child and the family, and the various services relevant to children and families engaged with or affected by the legal system. The module also gives a broad overview of the impact of international law on the Irish legal system and explores the relevance of international law to those working with children and families in Ireland today. Apply by 1/01/2021",NUIGalway,Healthcare / Medical / Nursing,9
27,,ECS301 Children and Families in Society,"National University of Ireland, Galway",Early Childhood Studies,yes,"This module examines children and families and how they interact with, and are affected by, the wider society in which they live. The module looks at different definitions of ‘family’, and considers key theories of family life. It outlines historical notions of the family and the impacts of culture on the family. It discusses children’s lives and contemporary and historical ideas about childhood.",NUIGalway,Healthcare / Medical / Nursing,9
28,,ECS307 Understanding Children’s Early Learning,"National University of Ireland, Galway",Early Childhood Studies,yes,"Contemporary understandings of childhood construct the child as an active agent in matters that affect their lives. Underpinned by the sociological understanding of childhood, this approach portrays the young child as an active and confident agent, and as a catalyst for their own learning and development.",NUIGalway,Healthcare / Medical / Nursing,9
29,,ECS202 Implementing the Early Years Curriculum,"National University of Ireland, Galway",Early Childhood Studies,yes,"This module examines underlying theories on educational activities and play for babies and children (0-8). The module examines a range of early childhood educational philosophies, including Montessori, HighScope, Reggio Emilia, Steiner, and ‘Play Based’. In addition, the module analyses Aistear: the Early Childhood Curriculum Framework in relation to devising suitable educational activities and play. Application deadline: 1 February.",NUIGalway,Healthcare / Medical / Nursing,9
30,,ECS101 Psychology - The Developing Child 1,"National University of Ireland, Galway",Early Childhood Studies,yes,The objective of this module is to introduce a range of theories in relation to the holistic development of young children and to look at their application in early childhood care and practice settings. The module will also provide students with an insight into atypical child development. The module will look at the role of adults in planning a child-centred environment.,NUIGalway,Healthcare / Medical / Nursing,9
31,,EYS1114 Integrated Community-Based Work Practice,"National University of Ireland, Galway",Early Childhood Studies,yes,"This module explores the theoretical underpinning to integrated community-based work, looks at past approaches, and critically examines the ‘new’ direction in service provision. In particular, the module draws on the ethic of care and social ecological theories to analyse universal and targeted community-based responses to children and families, including such services as home support, child protection, disability services and programmes designed to address inclusion.",NUIGalway,Healthcare / Medical / Nursing,9
32,,"EYS1115 Contemporary Perspectives on Play, Learning and Pedagogy","National University of Ireland, Galway",Early Childhood Studies,yes,"This module explores contemporary issues and perspectives on play, learning and pedagogy concerning ECEC. Drawing from a range of theoretical perspectives, learners will explore and analyse existing debates, emerging issues and current approaches, with the aim of developing critical and reflective thinking skills, enabling transformative practice within the early years sector.",NUIGalway,Healthcare / Medical / Nursing,9
33,,ECS103 Creative Development in Early Years,"National University of Ireland, Galway",Early Childhood Studies,yes,"This module will allow students the opportunity to explore and understand their role as facilitators and supporters of creative expression in young children. A theoretical approach will be used to consider the value of extending play through the use of music, movement, storytelling, art and drama in early years’ settings.",NUIGalway,Healthcare / Medical / Nursing,9
34,,EYS1112 Children’s Rights and Well Being: Current Issue,"National University of Ireland, Galway",Early Childhood Studies,yes,"This module will take as a starting point the ‘recognition that human rights are the entitlement of all people, acknowledging that children are individual rights holders. It will also recognise that children have specific rights through the UN Convention on the Rights of the Child under which they have a right to achieve their full potential and participate in decisions that affect their lives. (Dates subject to change)",NUIGalway,Healthcare / Medical / Nursing,9
35,,NU634 Dementia Care: Transforming Practice,"National University of Ireland, Galway",Health Science,yes,This module will provide you with an advanced understanding of dementia. The module aims to enable healthcare professionals to provide person-centred care that enhances the quality of life of people with dementia and their carers. This module has been developed using the latest evidence from the National Institute of Health and Clinical Excellence (NICE).,NUIGalway,Healthcare / Medical / Nursing,9
36,,NU644 Student-Centered Teaching & Learning: Active Engagement Strategies,"National University of Ireland, Galway",Health Science,yes,This module aims to broaden and build students’ repertoire of teaching strategies beyond traditional didactic approaches. Students will also explore the concept of “student engagement” and will examine how to: (1) incorporate active learning strategies into their classes and (2) use technologies to support teaching and promote student interest. Approaches to skills teaching in simulated and practice settings are also addressed.,NUIGalway,Healthcare / Medical / Nursing,9
37,,NU6445 (UCD) Specialist Understanding of Complex Care for Children,"National University of Ireland, Galway",Health Science,yes,"This module focuses on the central concepts of care that underpin specialist practice in complex care for children and their families. The organisation of health services for this population will be explored, as well as factors influencing care delivery- including the role of technology, the organisation of care services, and issues pertaining to quality care and clinical governance. The module is taught in UCD, Dublin.",NUIGalway,Healthcare / Medical / Nursing,9
38,,PO5102 Vascular Disease,"National University of Ireland, Galway",Health Science,yes,"This level 9 module has been developed as a collaborative initiative between the Vascular Team, Saolta University HealthCare Group, the Discipline of Podiatric Medicine and the School of Nursing at NUI Galway. The management of patients with disease requires a multidisciplinary approach, expert knowledge and a dedication to service provision and service development underpinned by evidence-based practice.",NUIGalway,Healthcare / Medical / Nursing,9
39,,PO5101 Management Diabetic Foot Disease,"National University of Ireland, Galway",Health Science,yes,This level 9 module is designed to facilitate development of multifaceted skills required when managing the foot conditions found in patients with diabetes. This module will provide students with the theoretical knowledge regarding elements of the management of Diabetic Foot Disease that will underpin the development of their clinical practice and clinical skills.Application deadline for this module is 31 October.,NUIGalway,Healthcare / Medical / Nursing,9
40,,NU502 Advanced Research Methods,"National University of Ireland, Galway",Health Science,yes,"This module is designed to enable students explore the methodological and practical issues about research. It will help students determine the appropriate research design for research questions in their practice and identify how to source, evaluate and implement evidence in practice.",NUIGalway,Healthcare / Medical / Nursing,9
41,,NU622 Clinical Supervision: Supporting CPD (Semester 2),"National University of Ireland, Galway",Health Science,yes,"This module on clinical supervision (CS) aims to provide the students with the required knowledge and practical skills to become effective supervisees/supervisors, and will thus enhance the implementation of CS frameworks in practice.",NUIGalway,Healthcare / Medical / Nursing,9
42,,NU6104 Management of Venous Leg Ulceration,"National University of Ireland, Galway",Health Science,yes,This module aims to give participants opportunities to explore the topic of venous leg ulceration in depth in order to enable critical practice in this specialised area of care. Application deadline is 31 October.,NUIGalway,Healthcare / Medical / Nursing,9
43,,NU568 High Dependency Maternity Care,"National University of Ireland, Galway",Health Science,yes,"Building upon existing knowledge and skills, this module seeks to enable practitioners to anticipate, assess, plan, prioritise, implement and evaluate care by enabling them to develop the specialised knowledge and skills required for working with women who require high dependency care in pregnancy, childbirth and the postnatal period.",NUIGalway,Healthcare / Medical / Nursing,9
44,,ET1511 Research Methods for Physiotherapists and Health Care Professionals,"National University of Ireland, Galway",Health Science,yes,"In this module the student will learn various methodologies involved in conducting research in the health care setting. Some of the topics covered would include academic writing, presentation of research findings, systematic research appraisal and synthesis of knowledge, Hypothesis development, research design and methodological approaches.",NUIGalway,Healthcare / Medical / Nursing,9
45,,ET1503 Physiologic Evaluation of Exercise and Fitness,"National University of Ireland, Galway",Health Science,yes,In this module the student will learn about the physiological basis for assessment of fitness and responses to exercise and training. The candidate will be expected to understand the physiological principles underlying different types of training and to be familiar with current trends in training techniques and practically useful fitness assessment.,NUIGalway,Healthcare / Medical / Nursing,9
46,,BS1143 Health & Safety Systems,"National University of Ireland, Galway",Health Science,yes,"Occupational Health and Safety is a multidisciplinary field concerned with the safety, health and welfare of people at work. The aim of the module is to introduce participants to the general management of health and safety at work along with equipping them with the knowledge and skills to enable them to communicate safety and health information to peers and supervisors on a range of occupational safety and health issues in the workplace.",NUIGalway,Healthcare / Medical / Nursing,9
47,,ET1514 Exercise Prescription for Rehabilitation,"National University of Ireland, Galway",Health Science,yes,"The candidate will be expected to be familiar with the case for and against exercise in relation to disease prevention and treatment of disease and disability. In addition the candidate should understand the mechanisms of benefit, the guidelines and safety considerations for exercise prescription. T",NUIGalway,Healthcare / Medical / Nursing,9
48,,ET1504 Exercise in Population Health and Exercise as Therapy,"National University of Ireland, Galway",Health Science,yes,"The candidate will be expected to be familiar with the case for and against exercise in relation to disease prevention and treatment of disease and disability. In addition the candidate should understand the mechanisms of benefit, the guidelines and safety considerations for exercise prescription.",NUIGalway,Healthcare / Medical / Nursing,9
49,,MK7108 Marketing Analytics & Research,"National University of Ireland, Galway",Marketing,yes,"Successful organisations direct all their efforts to giving customers what they want, while still earning a profit. The critical factor in such market dominance is the extensive use of data from Marketing Research. To be truly marketing orientated, companies have to make data work and be information driven. Marketers must actively engage with data searches, analyse, summarisation, interpretation, visualisation and presentation for intelligent marketing decision making and action.",NUIGalway,Big Data / Business Analysis,4
50,,MK8104 Negotiation Skills,"National University of Ireland, Galway",Marketing,yes,"Negotiation is a dialogue to discover common ground among parties with differing aims, needs and perspectives in order to achieve a solution that as far as possible meets people's interests. It is a process by which parties pursue a mutually acceptable outcome, which typically involves elements of creativity and compromise. Dates are subject to change.",NUIGalway,Sales - €35k +,19
51,,CT610 Software Engineering,"National University of Ireland, Galway",Software Engineering,yes,"This module will provide students with the fundamental software engineering knowledge necessary to develop and deliver quality software products. This course emphasises a holistic view to the development of software systems: software engineering encompasses technology, business, organisational and human concerns. Application deadline21 Nov 2021",NUIGalway,IT,11
52,,CT5154 Introduction to Information Retrieval,"National University of Ireland, Galway",Software Engineering,yes,"Information Retrieval (IR) deals with the identification of relevant information based on users’ needs. IR is used in web search engines, digital libraries, recommender systems, etc. This module is designed to explain and analyse techniques to deal with large amounts and types, of information. Application deadline 21 November 2021.",NUIGalway,IT,11
53,,CT619 Object Oriented Programming,"National University of Ireland, Galway",Software Engineering,yes,"This module provides detailed coverage of Object Oriented (OO) programming principles. It focuses on programming in Java, an OO language that is modern, vendor-independent, and widely used in industry. Recognising that programming requires skill as well as knowledge, this module places emphasis on the practical aspects of developing significant Java programs using a professional development environment. Application deadline 16 January 2022",NUIGalway,IT,11
54,,CT5157 Data Mining,"National University of Ireland, Galway",Software Engineering,yes,"This module introduces Data Mining before getting into the detail of the subject area with the following topics: Data Preprocessing, Association Rules, Classification, Evaluation, Clustering",NUIGalway,Big Data / Business Analysis,4
55,,CT621 Artificial Intelligence,"National University of Ireland, Galway",Software Engineering,yes,The module begins by examining the concept of AI and as well highlighting some important real-world applications of AI. It then presents search strategies currently employed in AI research. This is developed further by the examination of the functional programming language Prolog. The second half of the module looks at Knowledge Representation and Machine Learning. It also deals with the topic of uncertainty in AI. Application deadline 20 March 2022.,NUIGalway,Big Data / Business Analysis,4
56,,CT5114 Distributed Systems and Cloud Technologies,"National University of Ireland, Galway",Software Engineering,yes,The module will provide students with a good understanding of how to design and implement internet based distributed applications. The emphasis will be on explaining and evaluating the standard APIs and frameworks that are commonly used. Application deadline 20 March 2022,NUIGalway,IT,11
57,,CT618 Object Oriented Design,"National University of Ireland, Galway",Software Engineering,yes,"Application deadline 20 March 2022. This course emphasises a holistic view to the development of software systems: software engineering encompasses technology, business, organisational and human concerns. The course brings together the various software components (technology) and the diverse issues impacting their development (process, project, people) to improve software product quality. .",NUIGalway,IT,11
58,,"MG670 Technology, Innovation & Entrepreneurship","National University of Ireland, Galway",Technology Management,yes,The module reviews a broad range of topics that critically affect technology-based start-up companies. It is designed to help the learner develop strong conceptual foundations for understanding and exploiting technological innovation and entrepreneurship. Application Deadline: 30 November 2021,NUIGalway,IT,11
59,,IE620 Managing Technology Projects,"National University of Ireland, Galway",Technology Management,yes,"Projects are becoming an increasingly important part of how all organisations across industry sectors do business. The primary objective of this module is to provide learners with the knowledge, skills and understanding necessary to apply project management principles, tools and techniques to deliver value to the organisation. Application deadline: 30 November 2021",NUIGalway,Managers / Supervisors,13
60,,AY620 Technology Finance and Capital,"National University of Ireland, Galway",Technology Management,yes,"The module content is designed to apply the theories and concepts of Financial Accounting, Management Accounting and Business Finance to the decision making process within small, medium and global organisations. The financial strategies associated with the achievement of predetermined key performance indicators are fully explored within the module. Application deadline: 30 January 2022",NUIGalway,Financial Services,8
61,,MG616 Improving Business Processes,"National University of Ireland, Galway",Technology Management,yes,"When trying to improve a process, one must understand the entire process from start to finish before making any changes. This module provides students with a detailed strategic process to implement the Business Process Management (BPM) discipline within an organisation. The BPM lifecycle is a continuous improvement procedure that can be utilised across all processes. Application deadline 30 Jan 2022.",NUIGalway,Big Data / Business Analysis,4
62,,MG8104 Business Strategy,"National University of Ireland, Galway",Business & Management,yes,"The primary objectives of this course are as follows: To provide rigorous exposure to the concepts, theories and techniques on which strategic management in the business sector is based To explore the application of strategic management concepts, theories and techniques in a wide range of business settings To examine the design, implementation and maintenance of strategic planning systems and strategic thinking",NUIGalway,Managers / Supervisors,13
63,,EC7102 Macroeconomics and the Business Environment,"National University of Ireland, Galway",Business & Management,yes,"This is an intermediate macroeconomics module dealing with the theory and practice of macroeconomics. It builds upon the concepts and principles covered in first year macroeconomics. The objective of the module is to understand the core models in (short-run) macroeconomic theory and to learn how these theories can be applied to various short-run policy issues, both domestically (Ireland) and in an international (EU/eurozone) setting.",NUIGalway,Financial Services,8
64,,MK7108 Marketing Analytics & Research,"National University of Ireland, Galway",Business & Management,yes,"Successful organisations direct all their efforts to giving customers what they want, while still earning a profit. The critical factor in such market dominance is the extensive use of data from Marketing Research. To be truly marketing orientated, companies have to make data work and be information driven. Marketers must actively engage with data searches, analyse, summarisation, interpretation, visualisation and presentation for intelligent marketing decision making and action.",NUIGalway,Big Data / Business Analysis,4
65,,MG7102 Leading and Managing People,"National University of Ireland, Galway",Business & Management,yes,"This course provides a solid foundation to the study of Leading and Managing People. The material delivered and presented highlights the practicality of the issues involved in work and employment, and specifically in managing and leading people. People management is essentially about leading and managing people in a way that both maximises and rewards the contribution each individual makes in the organisation.",NUIGalway,Managers / Supervisors,13
66,,MG8102 Contemporary Management Thought (Semester 2),"National University of Ireland, Galway",Business & Management,yes,"The central aim of this module is to examine the theory and practice of the management process today. It discusses the core concepts of management and the role of the manager, the skills and ability they require to manage the organisation successfully. Furthermore, it focuses on the manager as a person, their personal characteristics, values and attitudes and how these elements can impact and influence the organisation and its culture.",NUIGalway,Managers / Supervisors,13
67,,EC426.3 Ireland in the Global Economy,"National University of Ireland, Galway",Business & Management,yes,"This module explores Ireland’s economic experience in the global economy using a comparative historical approach, grounded in an understanding of globalisation as a process of economic integration. The module aims to: explore Ireland’s economic experience in the context of globalisation processes. Introduce learners to the approaches and methods of the ‘new comparative economic history’. Deadline for applications: 8 January",NUIGalway,Financial Services,8
68,,EC1002 Principles of Macroeconomics,"National University of Ireland, Galway",Business & Management,yes,"This course provides an introduction to core concepts of macroeconomics: how to measure gross domestic product, inflation and unemployment as well as the role played by government fiscal and monetary policy. Macroeconomics is the study of the economy as a whole. The pre-requisite for enrolling on this module is that applicants have completed EC1001 Principles of Microeconomics. Deadline for applications: 8 January",NUIGalway,Financial Services,8
69,,MK8104 Negotiation Skills,"National University of Ireland, Galway",Business & Management,yes,"Negotiation is a dialogue to discover common ground among parties with differing aims, needs and perspectives in order to achieve a solution that as far as possible meets people's interests. It is a process by which parties pursue a mutually acceptable outcome, which typically involves elements of creativity and compromise. Dates are subject to change.",NUIGalway,Managers / Supervisors,13
70,,EC201 Intermediate Microeconomics (March),"National University of Ireland, Galway",Business & Management,yes,This course is designed for students from a non-economics background who are thinking of applying for a postgraduate programme such as the M. Sc. (Health Economics or MSc (Global Environmental Economics) at NUI Galway that requires applicants to have taken a preparatory course in microeconomics.,NUIGalway,Financial Services,8
71,,DT1146 Organisational Behaviour,"National University of Ireland, Galway",Science & Technology Undergrad,yes,"In this module you will learn about Organisational Behaviour, that is, you will learn about individuals and groups in organisations. Learning about Organisational Behaviour will help you to better understand yourself and others in the workplace.",NUIGalway,Managers / Supervisors,13
72,,BS1170 Automation 2,"National University of Ireland, Galway",Science & Technology Undergrad,no,"The aim of the Automation 2 module is to give you some important insights into the application of automation in industry as detailed in the module aims of Automation 1. The Automation 2 module introduces material transport systems, outlines the use of storage systems, and presents an overview of automated manufacturing.",NUIGalway,IT,11
73,,BS1153 Lean Thinking & Lean Tools,"National University of Ireland, Galway",Science & Technology Undergrad,yes,The module consists of 16 units which take the student through the history and development of Lean thinking; explores Lean principles including Value & Waste; and explains several of the main Lean tools & techniques.,NUIGalway,Managers / Supervisors,13
74,,BS1160 Medical Device Science,"National University of Ireland, Galway",Science & Technology Undergrad,yes,"Module Objectives: To understand the practical application of materials, mechanics and stress analysis theory in the design of medical devices.To understand the clinical need, function and design requirements of the most widely used orthopaedic and vascular medical devices. To understand the effects of mechanical loading (static, fatigue, wear) and environment on medical devices.",NUIGalway,Healthcare / Medical / Nursing,9
75,,DT1157 Design of Engineering Systems,"National University of Ireland, Galway",Science & Technology Undergrad,yes,"Design of Engineering Systems represents a complex interconnection of many elements to maximise performance. This science relates to all fields of engineering, and requires contribution from diverse technical disciplines. It involves the combined effort of all the team involved in the design process, leading to a structured development process that proceeds from conception to production to operation, and in some cases to termination and disposal.",NUIGalway,Construction / Engineering,5
76,,"DT1160 Science, Technology & Innovation","National University of Ireland, Galway",Science & Technology Undergrad,yes,"Science, Technology and Innovation covers the historical evolution of scientific thought and the periods of major industrial development, coupled with a focus on innovation and how it works today.",NUIGalway,Pharmaceutical / Science / Agriculture,18
77,,DT1158 Database Applications,"National University of Ireland, Galway",Science & Technology Undergrad,yes,"The module and its associated learning activities aim to introduce you to the core information in development of database systems. It includes analysis of system requirements, conceptual modelling and system specifications, their translation into a relational model, and use of the process of normalisation to minimise data duplication and anomalies in relational database tables.",NUIGalway,IT,11
78,,DT1171 Human Biology Fundamentals,"National University of Ireland, Galway",Science & Technology Undergrad,yes,"The focus of Human Biology Fundamentals will be on human anatomy, physiology and disease states, particularly those that are a target of medical device intervention. This module is designed to be appropriate to those who work in the MedTech and related sectors. Basic human biology will be explored in an interdisciplinary context applicable to largely technical backgrounds, such as applied and quality science, technology, and engineering.",NUIGalway,Healthcare / Medical / Nursing,9
79,,BST151 Energy Management,"National University of Ireland, Galway",Science & Technology Undergrad,yes,"Improving energy efficiency and reducing carbon footprints and energy costs is a priority for many organisations. An Energy Management System (EnMS) can play a lead role in achieving these aims. An EnMS is a process for continually improving energy performance. Suitable for all organisations, whatever the size or sector, it is particularly beneficial in organisations operating energy intensive processes.",NUIGalway,Energy / Renewable Energy,7
80,,BS1143 Health & Safety Systems,"National University of Ireland, Galway",Science & Technology Undergrad,yes,"Occupational Health and Safety is a multidisciplinary field concerned with the safety, health and welfare of people at work. The aim of the module is to introduce participants to the general management of health and safety at work along with equipping them with the knowledge and skills to enable them to communicate safety and health information to peers and supervisors on a range of occupational safety and health issues in the workplace.",NUIGalway,Healthcare / Medical / Nursing,9
81,,DT1145 Introduction to Environmental Science,"National University of Ireland, Galway",Science & Technology Undergrad,yes,The aim of the module is to introduce you to various disciplines that fall under the heading of Environmental Science and provide you with a rounded overview of the relative topics and concerns. Studying this module will give you facts and attitudes that will help you understand and evaluate current environmental issues.,NUIGalway,Pharmaceutical / Science / Agriculture,18
82,,DT1142 Physics 2,"National University of Ireland, Galway",Science & Technology Undergrad,yes,"Module DT150 Physics 1 introduced some of the fundamental ideas of physics. This module, Physics 2, completes the overview of Classical Physics by introducing the basic theory of electrostatics, electric currents and circuits, electromagnetism and light and optics. Classical Physics is still very relevant and is still used and applied today.",NUIGalway,Pharmaceutical / Science / Agriculture,18
83,,DT1153 Maths 1,"National University of Ireland, Galway",Science & Technology Undergrad,yes,"The course will be laid out as follows (delivery may vary):Trigonometry, Functions, Differentiation, Applications of Differentiation, Linear Systems, Matrices, Linear Systems and Matrix Equations, Integration, Linear Transformations",NUIGalway,Pharmaceutical / Science / Agriculture,18
84,,B100DT1165 Intro to Management Science,"National University of Ireland, Galway",Science & Technology Undergrad,yes,Introduction to Management Science is a module designed to give you an understanding of management science as a discipline that can help managers solve problems and make good decisions.,NUIGalway,Managers / Supervisors,13
85,,BS1150 Technology Innovation & Entrepreneurship,"National University of Ireland, Galway",Science & Technology Undergrad,yes,"The module aims to: Present a curriculum in the area of technology innovation and entrepreneurship. Provide easy-to-access, state-of-the-art reference material in the area of technology innovation and entrepreneurship to help learners to understand the essential fundamental concepts involved in the discipline.",NUIGalway,Managers / Supervisors,13
86,,BST154 The Lean Organisation and Technology,"National University of Ireland, Galway",Science & Technology Undergrad,yes,"Lean environmental management is based on the concept of continuous improvement of an organisation’s environmental performance over time. In this way the organisation's environmental plan is continuously changing in line with its activities as well as external influencing factors such as environmental legislation, changes in technology, and market pressures.",NUIGalway,Managers / Supervisors,13
87,,BS1142 Product & Process Development,"National University of Ireland, Galway",Science & Technology Undergrad,yes,"In Product and Process Development, you are introduced to the methods and techniques used to take an initial idea for a new product concept from the drawing board right through to the marketplace. As you progress through the course, you will be introduced to the different stages involved in developing a new product: 1 Identification of customer needs, 2 Concept generation, 3 Concept selection, 4 Concept testing, 5 Product specification, 6 Product launch",NUIGalway,Manufacturing / Engineering,14
88,,BS1164 Machine Design,"National University of Ireland, Galway",Science & Technology Undergrad,yes,"This module focuses on the core methodologies required to design various machines and machine parts.This module introduces students to the theory behind Simple and compound machines, reliability of a system, gearing and gear ratio theory, spring decision and design criteria. Machine Design also introduces the students to some 3D printing for assembly. This helps introduce and develop the students’ 3D modelling skills.",NUIGalway,Manufacturing / Engineering,14
89,,BS1154 Quality Science – Six Sigma,"National University of Ireland, Galway",Science & Technology Undergrad,yes,This course will give candidates a solid foundation in Quality Science & Six Sigma. Candidates will explore the history and development of Quality Science and the emergence of Six Sigma. You will develop a broad understanding of Six Sigma methodology [DMAIC] and the range of Six Sigma tools and techniques applicable in a Manufacturing or Service environment. Candidates will also get the opportunity to develop a working knowledge of the Statistical software package Minitab.,NUIGalway,Pharmaceutical / Science / Agriculture,18
90,,BST156 Environmental Legislation and Compliance,"National University of Ireland, Galway",Science & Technology Undergrad,yes,"Knowledge of current minimum legal expectations for environmental compliance is fundamental to achieving good environmental management in industrial and commercial environments. This module is aimed at professionals, will provide students with a practical foundation in the principles of compliance and risk management for corporations in Ireland. Application deadline 24 March 2022.",NUIGalway,Legal,12
91,,BS1158 Biocompatibility & Device Design,"National University of Ireland, Galway",Science & Technology Undergrad,yes,"In recent years, the role of biomaterials has been influenced considerably by advances in many areas of biology, engineering and chemistry as well as advances in surgical techniques and instruments.",NUIGalway,Healthcare / Medical / Nursing,9
92,,DT1163 Analytical Chemistry,"National University of Ireland, Galway",Science & Technology Undergrad,yes,"The aim of this module is to give you an introduction to some of the methods used in analytical chemistry and provide you with a good understanding of the molecular processes underlying these analytical methods. Equipped with this information, you should be able to analyse and tackle real-life chemical problems.
The module introduces analytical chemistry by describing the entire lifecycle of a sample: how to obtain, pre-treat, and analyse it.",NUIGalway,Healthcare / Medical / Nursing,9
93,,BS1145 Management Information Systems,"National University of Ireland, Galway",Science & Technology Undergrad,yes,"This course on Management Information Systems will discuss the design and implementation of various ERP, CRM and SCM systems and critique management approaches to IS strategy and planning. We will examine the value of strategic IS planning to organisations using MIS strategy models and frameworks and highlight how decision-making and alignment are dependent on well-designed and integrated systems.",NUIGalway,IT,11
94,,BS1144 Project Management,"National University of Ireland, Galway",Science & Technology Undergrad,yes,"The aim of the Project Management module is to give you a broad overview of the methods and techniques that you can use to manage projects of any type, from their very earliest stages right through to their completion. In addition, it should help you develop a number of skills such as planning, problem solving and team building, in addition to leadership and communication skills",NUIGalway,Managers / Supervisors,13
95,NU5077,Diabetes Management  ,University College Cork,School of Nursing and Midwifery,Yes,,UCC,Healthcare / Medical / Nursing,9
96,NU5086,Complementary Therapies in Healthcare   ,University College Cork,School of Nursing and Midwifery,Yes,,UCC,Healthcare / Medical / Nursing,9
97,NU5098,National Foundation Module in Critical Care Nursing    ,University College Cork,School of Nursing and Midwifery,Yes,,UCC,Healthcare / Medical / Nursing,9
98,NU6005,Evidence Based Practice for Healthcare Professionals   ,University College Cork,School of Nursing and Midwifery,Yes,,UCC,Healthcare / Medical / Nursing,9
99,NU6078,Aging and Older People: Bio Psychosocial Perspectives Aging and Older People: Comprehensive Assessment and Management  ,University College Cork,School of Nursing and Midwifery,Yes,,UCC,Healthcare / Medical / Nursing,9
100,NU6116,Advanced Nursing Practice  ,University College Cork,School of Nursing and Midwifery,Yes,,UCC,Healthcare / Medical / Nursing,9
101,NU6125,Professional Practice Issues for Nurses and Midwives  ,University College Cork,School of Nursing and Midwifery,Yes,,UCC,Healthcare / Medical / Nursing,9
102,NU6145,Foundations of Cancer Care   ,University College Cork,School of Nursing and Midwifery,Yes,,UCC,Healthcare / Medical / Nursing,9
